username,EnvironmentSatisfaction,Gender,JobInvolvement,MaritalStatus,PercentSalaryHike,StockOptionLevel,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,Dept,education,recruitment_type,job_level,rating,onsite,salary,satisfied,height,weight,fullname,password,skills,dob,email
test1,1,Female,2,Married,16,0,3,25,8,HR,PG,On-Campus,4,4,0,65715,0,165,40,Kobe Seymour,"98,50,51,97,55,49,101,49,97,97,102,97,100,98,97,100,97,55,50,48,53,98,55,57,101,98,49,98,53,55,55,51,99,50,50,51,48,51,51,54,98,97,49,51,48,100,101,52,55,51,53,97,48,100,48,49,50,53,53,50,101,49,102,101,52,54,51,98,53,102,55,56,55,52,49,99,48,97,101,54,98,102,101,49,51,54,98,100,51,51,53,98,49,50,56,55,99,102,102,102,57,99,52,56,97,57,52,101,57,100,49,102,55,53,54,49,54,54,53,55,48,54,49,57,50,48,48,102,53,99,49,54,100,102,55,52,102,54,49,51,100,101,98,51,49,57,99,50,98,100,98,54,97,52,53,56,101,56,56,48,48,50,98,100,51,99,51,98,55,98,55,53,57,50,97,51,98,51,51,51,99,99,53,99,98,56,57,97,53,100,100,57","['Unity', 'LGPD Lei Geral de Proteção de Dados', 'Swift', 'iOS Development', 'React']",29-05-1996,test1@EY.com
HR1098,1,Female,2,Married,16,0,3,25,8,HR,PG,Walk-in,4,5,0,65715,0,159,93,Shaun Taylor,"98,50,51,97,55,49,101,49,97,97,102,97,100,98,97,100,97,55,50,48,53,98,55,57,101,98,49,98,53,55,55,51,99,50,50,51,48,51,51,54,98,97,49,51,48,100,101,52,55,51,53,97,48,100,48,49,50,53,53,50,101,49,102,101,52,54,51,98,53,102,55,56,55,52,49,99,48,97,101,54,98,102,101,49,51,54,98,100,51,51,53,98,49,50,56,55,99,102,102,102,57,99,52,56,97,57,52,101,57,100,49,102,55,53,54,49,54,54,53,55,48,54,49,57,50,48,48,102,53,99,49,54,100,102,55,52,102,54,49,51,100,101,98,51,49,57,99,50,98,100,98,54,97,52,53,56,101,56,56,48,48,50,98,100,51,99,51,98,55,98,55,53,57,50,97,51,98,51,51,51,99,99,53,99,98,56,57,97,53,100,100,57","['Belly Dancing', 'AWS Certified DevOps Engineer - Professional', 'AWS Certified SysOps Administrator - Associate', 'Database Management', 'Microsoft Access']",31-05-1968,HR1098@EY.com
HR1197,4,Male,2,Single,15,0,3,0,0,HR,PG,Walk-in,1,2,0,24076,0,155,66,Frank Briggs,"98,50,51,97,55,49,101,49,97,97,102,97,100,98,97,100,97,55,50,48,53,98,55,57,101,98,49,98,53,55,55,51,99,50,50,51,48,51,51,54,98,97,49,51,48,100,101,52,55,51,53,97,48,100,48,49,50,53,53,50,101,49,102,101,52,54,51,98,53,102,55,56,55,52,49,99,48,97,101,54,98,102,101,49,51,54,98,100,51,51,53,98,49,50,56,55,99,102,102,102,57,99,52,56,97,57,52,101,57,100,49,102,55,53,54,49,54,54,53,55,48,54,49,57,50,48,48,102,53,99,49,54,100,102,55,52,102,54,49,51,100,101,98,51,49,57,99,50,98,100,98,54,97,52,53,56,101,56,56,48,48,50,98,100,51,99,51,98,55,98,55,53,57,50,97,51,98,51,51,51,99,99,53,99,98,56,57,97,53,100,100,57","['Writing a Book', 'Embroidery', 'PostgreSQL', 'RSLogix/Studio 5000', 'Social Psychology']",17-06-1974,HR1197@EY.com
HR1635,4,Male,2,Single,15,0,3,0,0,HR,UG,On-Campus,1,2,0,24076,0,177,78,Shaun Carroll,"98,50,51,97,55,49,101,49,97,97,102,97,100,98,97,100,97,55,50,48,53,98,55,57,101,98,49,98,53,55,55,51,99,50,50,51,48,51,51,54,98,97,49,51,48,100,101,52,55,51,53,97,48,100,48,49,50,53,53,50,101,49,102,101,52,54,51,98,53,102,55,56,55,52,49,99,48,97,101,54,98,102,101,49,51,54,98,100,51,51,53,98,49,50,56,55,99,102,102,102,57,99,52,56,97,57,52,101,57,100,49,102,55,53,54,49,54,54,53,55,48,54,49,57,50,48,48,102,53,99,49,54,100,102,55,52,102,54,49,51,100,101,98,51,49,57,99,50,98,100,98,54,97,52,53,56,101,56,56,48,48,50,98,100,51,99,51,98,55,98,55,53,57,50,97,51,98,51,51,51,99,99,53,99,98,56,57,97,53,100,100,57","['German Language', 'Ethics', 'Team Building', 'Shamanism', 'Life Coach Training']",23-11-1967,HR1635@EY.com
HR1663,2,Female,3,Single,11,0,1,6,4,HR,UG,Recruitment Agency,2,5,1,29805,0,163,91,Kobe Morgan,"98,50,51,97,55,49,101,49,97,97,102,97,100,98,97,100,97,55,50,48,53,98,55,57,101,98,49,98,53,55,55,51,99,50,50,51,48,51,51,54,98,97,49,51,48,100,101,52,55,51,53,97,48,100,48,49,50,53,53,50,101,49,102,101,52,54,51,98,53,102,55,56,55,52,49,99,48,97,101,54,98,102,101,49,51,54,98,100,51,51,53,98,49,50,56,55,99,102,102,102,57,99,52,56,97,57,52,101,57,100,49,102,55,53,54,49,54,54,53,55,48,54,49,57,50,48,48,102,53,99,49,54,100,102,55,52,102,54,49,51,100,101,98,51,49,57,99,50,98,100,98,54,97,52,53,56,101,56,56,48,48,50,98,100,51,99,51,98,55,98,55,53,57,50,97,51,98,51,51,51,99,99,53,99,98,56,57,97,53,100,100,57","['Oracle Certification', 'CompTIA Security+', 'Nursing', 'React', 'Cisco CCNA']",01-03-1996,HR1663@EY.com
HR1863,2,Female,3,Single,11,0,1,6,4,HR,UG,Referral,2,4,1,29805,0,171,73,Kobe Carroll,"98,50,51,97,55,49,101,49,97,97,102,97,100,98,97,100,97,55,50,48,53,98,55,57,101,98,49,98,53,55,55,51,99,50,50,51,48,51,51,54,98,97,49,51,48,100,101,52,55,51,53,97,48,100,48,49,50,53,53,50,101,49,102,101,52,54,51,98,53,102,55,56,55,52,49,99,48,97,101,54,98,102,101,49,51,54,98,100,51,51,53,98,49,50,56,55,99,102,102,102,57,99,52,56,97,57,52,101,57,100,49,102,55,53,54,49,54,54,53,55,48,54,49,57,50,48,48,102,53,99,49,54,100,102,55,52,102,54,49,51,100,101,98,51,49,57,99,50,98,100,98,54,97,52,53,56,101,56,56,48,48,50,98,100,51,99,51,98,55,98,55,53,57,50,97,51,98,51,51,51,99,99,53,99,98,56,57,97,53,100,100,57","['Music Career', 'Minimalist Lifestyle', 'Change Management', 'Emotional Intelligence', 'Sustainable Architecture']",15-07-1996,HR1863@EY.com
HR1878,4,Male,2,Single,15,0,3,0,0,HR,PG,Walk-in,1,5,0,24076,1,173,84,Frank Farmer,"98,50,51,97,55,49,101,49,97,97,102,97,100,98,97,100,97,55,50,48,53,98,55,57,101,98,49,98,53,55,55,51,99,50,50,51,48,51,51,54,98,97,49,51,48,100,101,52,55,51,53,97,48,100,48,49,50,53,53,50,101,49,102,101,52,54,51,98,53,102,55,56,55,52,49,99,48,97,101,54,98,102,101,49,51,54,98,100,51,51,53,98,49,50,56,55,99,102,102,102,57,99,52,56,97,57,52,101,57,100,49,102,55,53,54,49,54,54,53,55,48,54,49,57,50,48,48,102,53,99,49,54,100,102,55,52,102,54,49,51,100,101,98,51,49,57,99,50,98,100,98,54,97,52,53,56,101,56,56,48,48,50,98,100,51,99,51,98,55,98,55,53,57,50,97,51,98,51,51,51,99,99,53,99,98,56,57,97,53,100,100,57","['Personal Budgeting', 'Cisco CCNA', 'Unity', 'Certified Management Accountant (CMA)', 'SQL Server']",12-09-1994,HR1878@EY.com
HR1956,3,Female,3,Divorced,11,1,2,14,13,HR,PG,Walk-in,5,5,1,86750,0,173,84,David Morales,"98,50,51,97,55,49,101,49,97,97,102,97,100,98,97,100,97,55,50,48,53,98,55,57,101,98,49,98,53,55,55,51,99,50,50,51,48,51,51,54,98,97,49,51,48,100,101,52,55,51,53,97,48,100,48,49,50,53,53,50,101,49,102,101,52,54,51,98,53,102,55,56,55,52,49,99,48,97,101,54,98,102,101,49,51,54,98,100,51,51,53,98,49,50,56,55,99,102,102,102,57,99,52,56,97,57,52,101,57,100,49,102,55,53,54,49,54,54,53,55,48,54,49,57,50,48,48,102,53,99,49,54,100,102,55,52,102,54,49,51,100,101,98,51,49,57,99,50,98,100,98,54,97,52,53,56,101,56,56,48,48,50,98,100,51,99,51,98,55,98,55,53,57,50,97,51,98,51,51,51,99,99,53,99,98,56,57,97,53,100,100,57","['SEO', 'Website Flipping', 'Marketing Strategy', 'Amazon Kindle Direct Publishing (KDP)', 'Chemical Engineering']",29-06-1998,HR1956@EY.com
HR1980,1,Female,2,Married,16,0,3,25,8,HR,UG,Referral,4,1,1,65715,1,153,50,Kobe Bush,"98,50,51,97,55,49,101,49,97,97,102,97,100,98,97,100,97,55,50,48,53,98,55,57,101,98,49,98,53,55,55,51,99,50,50,51,48,51,51,54,98,97,49,51,48,100,101,52,55,51,53,97,48,100,48,49,50,53,53,50,101,49,102,101,52,54,51,98,53,102,55,56,55,52,49,99,48,97,101,54,98,102,101,49,51,54,98,100,51,51,53,98,49,50,56,55,99,102,102,102,57,99,52,56,97,57,52,101,57,100,49,102,55,53,54,49,54,54,53,55,48,54,49,57,50,48,48,102,53,99,49,54,100,102,55,52,102,54,49,51,100,101,98,51,49,57,99,50,98,100,98,54,97,52,53,56,101,56,56,48,48,50,98,100,51,99,51,98,55,98,55,53,57,50,97,51,98,51,51,51,99,99,53,99,98,56,57,97,53,100,100,57","['Embedded C', 'Merchandising', 'Social Media Marketing', 'Customer Experience Management', 'LinkedIn']",31-12-1993,HR1980@EY.com
HR2059,1,Female,2,Married,16,0,3,25,8,HR,PG,Referral,4,1,1,65715,1,151,84,Michael Seymour,"98,50,51,97,55,49,101,49,97,97,102,97,100,98,97,100,97,55,50,48,53,98,55,57,101,98,49,98,53,55,55,51,99,50,50,51,48,51,51,54,98,97,49,51,48,100,101,52,55,51,53,97,48,100,48,49,50,53,53,50,101,49,102,101,52,54,51,98,53,102,55,56,55,52,49,99,48,97,101,54,98,102,101,49,51,54,98,100,51,51,53,98,49,50,56,55,99,102,102,102,57,99,52,56,97,57,52,101,57,100,49,102,55,53,54,49,54,54,53,55,48,54,49,57,50,48,48,102,53,99,49,54,100,102,55,52,102,54,49,51,100,101,98,51,49,57,99,50,98,100,98,54,97,52,53,56,101,56,56,48,48,50,98,100,51,99,51,98,55,98,55,53,57,50,97,51,98,51,51,51,99,99,53,99,98,56,57,97,53,100,100,57","['SaaS', 'Value Investing', 'Marketing Management', 'Blogging', 'Healthcare IT']",25-02-1979,HR2059@EY.com
